#       [nm]       bulge  elliptical          s0          sa          sb          sc         avg
     211.209 7.73386e-16 8.54807e-16 2.03173e-15 3.80220e-15 5.74309e-15 2.88807e-14 7.01432e-15
     211.429 9.11631e-16 9.82147e-16 1.41543e-15 3.40022e-15 7.18724e-15 2.50253e-14 6.48700e-15
     211.648 9.70310e-16 1.49088e-15 1.11744e-15 3.65423e-15 6.55861e-15 2.41770e-14 6.32808e-15
     211.868 9.90685e-16 2.18330e-15 9.72698e-16 4.22410e-15 4.93189e-15 2.47765e-14 6.34653e-15
     212.088 9.66098e-16 2.41577e-15 1.11589e-15 4.52073e-15 4.36634e-15 2.69306e-14 6.71923e-15
     212.308 8.74060e-16 1.95832e-15 1.69103e-15 4.40751e-15 5.39251e-15 3.14170e-14 7.62340e-15
     212.527 8.05489e-16 1.53944e-15 2.22018e-15 4.31626e-15 6.24585e-15 3.48376e-14 8.32747e-15
     212.747 9.01194e-16 1.39040e-15 2.42760e-15 4.37878e-15 5.88957e-15 3.07978e-14 7.63090e-15
     212.967 9.96898e-16 1.24136e-15 2.63502e-15 4.44129e-15 5.53330e-15 2.67581e-14 6.93433e-15
     213.187 9.89486e-16 1.54631e-15 2.64393e-15 4.05346e-15 5.30744e-15 2.85365e-14 7.17952e-15
     213.407 9.63883e-16 1.93136e-15 2.61783e-15 3.58616e-15 5.10458e-15 3.13413e-14 7.59085e-15
     213.626 9.74698e-16 2.27081e-15 2.16977e-15 3.59361e-15 8.57980e-15 3.27465e-14 8.38920e-15
     213.846 1.01244e-15 2.57654e-15 1.40982e-15 3.95200e-15 1.47738e-14 3.31169e-14 9.47359e-15
     214.066 9.97249e-16 2.57746e-15 1.04709e-15 4.01569e-15 1.73265e-14 3.38117e-14 9.96261e-15
     214.286 8.58572e-16 1.86720e-15 1.61109e-15 3.39177e-15 1.13835e-14 3.52635e-14 9.06260e-15
     214.505 7.26390e-16 1.17047e-15 2.15918e-15 2.79884e-15 5.62871e-15 3.67260e-14 8.20160e-15
     214.725 8.47194e-16 9.99553e-16 2.08819e-15 3.41241e-15 7.20178e-15 3.86105e-14 8.85993e-15
     214.945 9.67990e-16 8.28650e-16 2.01721e-15 4.02595e-15 8.77475e-15 4.04948e-14 9.51822e-15
     215.165 1.00878e-15 8.73458e-16 1.53747e-15 4.21333e-15 9.40894e-15 3.66764e-14 8.95307e-15
     215.385 1.02289e-15 9.90165e-16 9.21526e-16 4.25866e-15 9.73013e-15 3.09576e-14 7.98016e-15
     215.604 1.01019e-15 1.19761e-15 6.60766e-16 3.83527e-15 9.81818e-15 2.52631e-14 6.96419e-15
     215.824 9.67853e-16 1.50530e-15 7.92606e-16 2.89393e-15 9.64853e-15 1.95965e-14 5.90078e-15
     216.044 9.33350e-16 1.88972e-15 8.99625e-16 2.20855e-15 8.89043e-15 1.61029e-14 5.15410e-15
     216.264 9.30185e-16 2.58085e-15 9.07330e-16 2.54718e-15 5.77901e-15 2.13023e-14 5.67447e-15
     216.484 9.27019e-16 3.27203e-15 9.15035e-16 2.88583e-15 2.66737e-15 2.65020e-14 6.19488e-15
     216.703 8.84607e-16 2.97222e-15 1.33812e-15 2.91055e-15 3.24227e-15 3.16159e-14 7.16060e-15
     216.923 8.39011e-16 2.59206e-15 1.79491e-15 2.90982e-15 4.11605e-15 3.67231e-14 8.16249e-15
     217.143 8.11167e-16 2.31954e-15 2.07265e-15 3.21628e-15 5.89678e-15 3.70881e-14 8.56743e-15
     217.363 7.92880e-16 2.10496e-15 2.25401e-15 3.68817e-15 8.16605e-15 3.48998e-14 8.65097e-15
     217.582 7.73406e-16 1.94998e-15 2.49433e-15 4.09704e-15 8.98426e-15 3.05375e-14 8.13943e-15
     217.802 7.51951e-16 1.89433e-15 2.83294e-15 4.40093e-15 7.38410e-15 2.25513e-14 6.63592e-15
     218.022 7.38312e-16 1.85176e-15 3.14709e-15 4.64505e-15 5.95340e-15 1.59177e-14 5.37555e-15
     218.242 7.95032e-16 1.92694e-15 3.24128e-15 4.35126e-15 6.04726e-15 2.14564e-14 6.30303e-15
     218.462 8.51747e-16 2.00211e-15 3.33546e-15 4.05749e-15 6.14111e-15 2.69947e-14 7.23044e-15
     218.681 8.54145e-16 1.85820e-15 3.58871e-15 4.10093e-15 5.67120e-15 3.06454e-14 7.78644e-15
     218.901 8.45019e-16 1.66781e-15 3.87569e-15 4.21591e-15 5.08173e-15 3.38954e-14 8.26359e-15
     219.121 8.67976e-16 1.73849e-15 3.80266e-15 4.32280e-15 5.56037e-15 3.89354e-14 9.20462e-15
     219.341 9.17183e-16 2.02279e-15 3.43506e-15 4.42308e-15 6.91300e-15 4.54399e-14 1.05252e-14
     219.560 9.26153e-16 2.34886e-15 3.19481e-15 4.47314e-15 8.00428e-15 4.80000e-14 1.11579e-14
     219.780 8.29056e-16 2.78511e-15 3.29024e-15 4.39085e-15 8.40681e-15 4.01629e-14 9.97750e-15
     220.000 7.31952e-16 3.22139e-15 3.38568e-15 4.30856e-15 8.80937e-15 3.23253e-14 8.79704e-15
     220.220 7.44072e-16 3.00265e-15 3.12190e-15 4.50361e-15 5.51499e-15 2.74074e-14 7.38243e-15
     220.440 7.56190e-16 2.78393e-15 2.85814e-15 4.69865e-15 2.22083e-15 2.24898e-14 5.96792e-15
     220.659 8.69112e-16 2.25724e-15 2.74918e-15 4.50846e-15 2.31292e-15 1.95128e-14 5.36829e-15
     220.879 1.02026e-15 1.61379e-15 2.69896e-15 4.17216e-15 3.68940e-15 1.72722e-14 5.07779e-15
     221.099 1.07901e-15 1.40007e-15 2.64301e-15 3.58070e-15 3.87352e-15 2.02592e-14 5.47258e-15
     221.319 1.02484e-15 1.71157e-15 2.58009e-15 2.67749e-15 2.60037e-15 2.96346e-14 6.70483e-15
     221.538 9.86616e-16 2.05542e-15 2.51275e-15 1.84456e-15 2.04238e-15 3.70054e-14 7.74118e-15
     221.758 1.02361e-15 2.55160e-15 2.42459e-15 1.34331e-15 4.85562e-15 3.49239e-14 7.85377e-15
     221.978 1.06061e-15 3.04782e-15 2.33643e-15 8.42024e-16 7.66905e-15 3.28422e-14 7.96636e-15
     222.198 9.27787e-16 2.59541e-15 2.01741e-15 1.89894e-15 6.85587e-15 2.98927e-14 7.36468e-15
     222.418 7.76089e-16 2.03759e-15 1.67273e-15 3.12902e-15 5.63975e-15 2.68465e-14 6.68361e-15
     222.637 7.50530e-16 1.96317e-15 2.04075e-15 3.67212e-15 5.64747e-15 2.55713e-14 6.60755e-15
     222.857 8.00649e-16 2.17876e-15 2.83642e-15 3.80311e-15 6.38945e-15 2.53584e-14 6.89446e-15
